"id","lat","lon","date","country","species","database"
"4127222512",-26.708605,-50.845313,2023-05-25,"Brazil","Amazona vinacea","Gbif"
"4677959607",-26.80598,-51.948868,2023-05-02,"Brazil","Amazona vinacea","Gbif"
"4823639657",-26.869362,-51.94663,2023-05-03,"Brazil","Amazona vinacea","Gbif"
"4819954817",-26.90317,-51.05689,2023-05-04,"Brazil","Amazona vinacea","Gbif"
"4742441119",-26.79975,-51.991096,2023-05-05,"Brazil","Amazona vinacea","Gbif"
"4626945189",-26.032621,-52.591343,2023-05-05,"Brazil","Amazona vinacea","Gbif"
"4827499878",-26.053537,-52.648037,2023-05-05,"Brazil","Amazona vinacea","Gbif"
"4742026793",-26.037134,-52.628357,2023-05-05,"Brazil","Amazona vinacea","Gbif"
"4744111310",-29.157885,-50.078346,2023-05-09,"Brazil","Amazona vinacea","Gbif"
"4746403935",-24.903929,-47.805164,2023-05-08,"Brazil","Amazona vinacea","Gbif"
"4819931430",-29.158487,-50.079395,2023-05-11,"Brazil","Amazona vinacea","Gbif"
"4735737932",-28.02873,-49.874077,2023-05-12,"Brazil","Amazona vinacea","Gbif"
"4721907445",-27.110743,-52.767525,2023-05-13,"Brazil","Amazona vinacea","Gbif"
"4844577150",-27.116165,-52.768436,2023-05-13,"Brazil","Amazona vinacea","Gbif"
"4833129491",-29.427965,-50.85491,2023-05-13,"Brazil","Amazona vinacea","Gbif"
"4817976107",-29.365347,-50.866467,2023-05-13,"Brazil","Amazona vinacea","Gbif"
"4708753104",-22.696798,-45.4849,2023-05-13,"Brazil","Amazona vinacea","Gbif"
"4669502974",-28.015335,-50.49468,2023-05-13,"Brazil","Amazona vinacea","Gbif"
"4673550894",-29.32316,-50.815784,2023-05-13,"Brazil","Amazona vinacea","Gbif"
"4806495535",-29.15847,-50.079353,2023-05-13,"Brazil","Amazona vinacea","Gbif"
"4843358194",-24.757904,-54.45637,2023-05-13,"Paraguay","Amazona vinacea","Gbif"
"4640344107",-26.752565,-50.99104,2023-05-13,"Brazil","Amazona vinacea","Gbif"
"4672130475",-26.181196,-51.21379,2023-05-09,"Brazil","Amazona vinacea","Gbif"
"4741599807",-24.75679,-54.452816,2023-05-13,"Paraguay","Amazona vinacea","Gbif"
"4659924999",-28.039925,-49.45227,2023-05-15,"Brazil","Amazona vinacea","Gbif"
"4815318692",-22.716742,-45.581028,2023-05-19,"Brazil","Amazona vinacea","Gbif"
"4705416680",-26.730976,-52.70012,2023-05-20,"Brazil","Amazona vinacea","Gbif"
"4782755889",-26.63634,-51.494537,2023-05-18,"Brazil","Amazona vinacea","Gbif"
"4837787438",-27.790737,-50.346844,2023-05-20,"Brazil","Amazona vinacea","Gbif"
"4845143162",-26.664103,-52.257484,2023-05-17,"Brazil","Amazona vinacea","Gbif"
"4811992025",-26.73247,-50.81974,2023-05-21,"Brazil","Amazona vinacea","Gbif"
"4637555831",-26.75517,-50.84672,2023-05-21,"Brazil","Amazona vinacea","Gbif"
"4825775281",-26.76052,-50.871082,2023-05-21,"Brazil","Amazona vinacea","Gbif"
"4837835314",-27.520168,-51.1208,2023-05-21,"Brazil","Amazona vinacea","Gbif"
"4843951028",-27.004435,-51.400833,2023-05-24,"Brazil","Amazona vinacea","Gbif"
"4743314293",-27.945337,-49.92603,2023-05-24,"Brazil","Amazona vinacea","Gbif"
"4677764900",-27.951292,-49.93415,2023-05-24,"Brazil","Amazona vinacea","Gbif"
"4747342427",-27.945486,-49.92607,2023-05-25,"Brazil","Amazona vinacea","Gbif"
"4647397998",-26.26182,-49.533432,2023-05-26,"Brazil","Amazona vinacea","Gbif"
"4805839850",-24.949799,-47.97888,2023-05-26,"Brazil","Amazona vinacea","Gbif"
"4739352608",-22.721987,-45.62725,2023-05-27,"Brazil","Amazona vinacea","Gbif"
"4648056882",-29.173143,-49.96721,2023-05-28,"Brazil","Amazona vinacea","Gbif"
"4713097222",-26.127153,-51.652622,2023-05-30,"Brazil","Amazona vinacea","Gbif"
"4681019701",-26.536896,-51.606956,2023-05-30,"Brazil","Amazona vinacea","Gbif"
"4673741914",-27.980448,-49.855312,2023-05-31,"Brazil","Amazona vinacea","Gbif"
"4633584867",-27.671589,-49.05885,2023-05-27,"Brazil","Amazona vinacea","Gbif"
"4829764060",-26.513437,-51.77953,2023-05-31,"Brazil","Amazona vinacea","Gbif"
"4661642840",-27.529762,-51.10079,2023-05-17,"Brazil","Amazona vinacea","Gbif"
"4838958920",-17.529064,-40.572052,2023-05-31,"Brazil","Amazona vinacea","Gbif"
"4841353722",-28.306835,-50.645977,2023-05-29,"Brazil","Amazona vinacea","Gbif"
"4686739032",-27.928144,-49.85533,2023-05-03,"Brazil","Amazona vinacea","Gbif"
"4138637847",-22.841213,-46.198876,2023-06-19,"Brazil","Amazona vinacea","Gbif"
"4153781132",-25.800289,-52.197394,2023-06-02,"Brazil","Amazona vinacea","Gbif"
"4162181987",-26.229774,-49.852981,2023-06-29,"Brazil","Amazona vinacea","Gbif"
"4416930255",-16.394845,-40.957292,2023-06-10,"Brazil","Amazona vinacea","Gbif"
"4654481640",-25.707628,-53.060043,2023-06-01,"Brazil","Amazona vinacea","Gbif"
"4762670614",-27.488422,-50.818108,2023-06-06,"Brazil","Amazona vinacea","Gbif"
"4828166856",-27.422289,-50.765488,2023-06-06,"Brazil","Amazona vinacea","Gbif"
"4755303596",-27.953085,-50.09578,2023-06-07,"Brazil","Amazona vinacea","Gbif"
"4756886077",-27.431942,-50.777996,2023-06-07,"Brazil","Amazona vinacea","Gbif"
"4836203980",-22.87582,-46.033787,2023-06-07,"Brazil","Amazona vinacea","Gbif"
"4675452532",-26.449093,-52.565613,2023-06-10,"Brazil","Amazona vinacea","Gbif"
"4821366647",-19.712765,-41.814518,2023-06-12,"Brazil","Amazona vinacea","Gbif"
"4766819089",-26.477253,-52.63577,2023-06-17,"Brazil","Amazona vinacea","Gbif"
"4770331600",-27.497814,-50.875195,2023-06-18,"Brazil","Amazona vinacea","Gbif"
"4624216568",-26.68905,-53.117523,2023-06-18,"Brazil","Amazona vinacea","Gbif"
"4770381711",-22.86604,-46.04079,2023-06-19,"Brazil","Amazona vinacea","Gbif"
"4832953968",-27.27671,-50.4381,2023-06-22,"Brazil","Amazona vinacea","Gbif"
"4837261235",-27.512518,-51.17825,2023-06-19,"Brazil","Amazona vinacea","Gbif"
"4690449582",-22.866201,-46.041775,2023-06-24,"Brazil","Amazona vinacea","Gbif"
"4694388184",-26.14827,-50.921894,2023-06-26,"Brazil","Amazona vinacea","Gbif"
"4612915242",-22.697767,-45.515057,2023-06-27,"Brazil","Amazona vinacea","Gbif"
"4753699031",-27.837963,-50.084484,2023-06-25,"Brazil","Amazona vinacea","Gbif"
"4691541438",-22.69413,-45.502388,2023-06-28,"Brazil","Amazona vinacea","Gbif"
"4691097986",-15.351589,-43.948208,2023-06-29,"Brazil","Amazona vinacea","Gbif"
"4691860998",-27.567038,-51.057564,2023-06-29,"Brazil","Amazona vinacea","Gbif"
"4644350207",-26.55235,-49.805622,2023-06-29,"Brazil","Amazona vinacea","Gbif"
"4764959880",-26.162706,-51.108932,2023-06-29,"Brazil","Amazona vinacea","Gbif"
"4664575765",-28.011583,-49.832825,2023-06-21,"Brazil","Amazona vinacea","Gbif"
"4703226877",-22.761477,-45.62065,2023-06-28,"Brazil","Amazona vinacea","Gbif"
"4631042817",-23.469725,-45.169296,2023-07-01,"Brazil","Amazona vinacea","Gbif"
"4693609997",-27.541813,-51.087807,2023-07-01,"Brazil","Amazona vinacea","Gbif"
"4621565101",-22.6937,-45.50549,2023-07-02,"Brazil","Amazona vinacea","Gbif"
"4768572260",-22.696547,-45.48711,2023-07-02,"Brazil","Amazona vinacea","Gbif"
"4754688868",-25.397087,-49.347256,2023-07-06,"Brazil","Amazona vinacea","Gbif"
"4795633079",-22.696455,-45.539734,2023-07-05,"Brazil","Amazona vinacea","Gbif"
"4771379567",-22.697416,-45.4888,2023-07-10,"Brazil","Amazona vinacea","Gbif"
"4766244441",-24.934729,-47.954136,2023-07-14,"Brazil","Amazona vinacea","Gbif"
"4770125923",-23.770893,-46.518414,2023-07-15,"Brazil","Amazona vinacea","Gbif"
"4706505503",-27.962845,-49.891575,2023-07-17,"Brazil","Amazona vinacea","Gbif"
"4697656666",-20.314949,-42.6067,2023-07-18,"Brazil","Amazona vinacea","Gbif"
"4670806812",-26.799492,-51.9901,2023-07-23,"Brazil","Amazona vinacea","Gbif"
"4705019598",-19.667635,-42.549423,2023-07-22,"Brazil","Amazona vinacea","Gbif"
"4778010255",-22.691042,-45.503933,2023-07-27,"Brazil","Amazona vinacea","Gbif"
"4783804628",-22.69444,-45.489468,2023-07-28,"Brazil","Amazona vinacea","Gbif"
"4701009834",-26.242615,-49.521976,2023-07-29,"Brazil","Amazona vinacea","Gbif"
"4726035500",-29.39474,-50.87588,2023-07-30,"Brazil","Amazona vinacea","Gbif"
"4638797778",-29.378424,-50.87108,2023-07-30,"Brazil","Amazona vinacea","Gbif"
"4694496155",-24.945017,-51.373913,2023-07-30,"Brazil","Amazona vinacea","Gbif"
"4627224303",-29.441814,-50.612015,2023-07-31,"Brazil","Amazona vinacea","Gbif"
"4609672796",-29.366495,-50.87188,2023-07-31,"Brazil","Amazona vinacea","Gbif"
"4614855244",-29.365557,-50.869884,2023-07-31,"Brazil","Amazona vinacea","Gbif"
"4813371667",-27.952076,-49.9305,2023-07-31,"Brazil","Amazona vinacea","Gbif"
"4710083389",-22.86508,-46.025017,2023-07-30,"Brazil","Amazona vinacea","Gbif"
"4654772202",-22.498352,-44.55287,2023-07-17,"Brazil","Amazona vinacea","Gbif"
"4788913397",-28.097475,-49.63754,2023-07-30,"Brazil","Amazona vinacea","Gbif"
"4910895093",-29.350666,-50.978186,2023-08-04,"Brazil","Amazona vinacea","Gbif"
"4400212773",-29.270108,-50.953295,2023-08-04,"Brazil","Amazona vinacea","Gbif"
"4407388636",-26.446783,-52.522928,2023-08-29,"Brazil","Amazona vinacea","Gbif"
"4407499545",-26.485033,-53.848742,2023-08-30,"Argentina","Amazona vinacea","Gbif"
