"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","user_name","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Amazona vinacea","2024-07-21 17:08:16 -0300","","Misiones, AR",-26.4591869376,-53.9781733058,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/232592052","https://inaturalist-open-data.s3.amazonaws.com/photos/413242109/medium.jpeg","fergoracy",232592052,"Loro vinoso","Aves",18986,2,0,"2024-07-21 17:08:16","2024-07-21","2024-07-21 20:08:16 UTC","America/Argentina/Cordoba",5,29845,"","obscured","true","gps","gps",2653109,"María Fernanda Goracy","2024-07-29 22:56:52 UTC","2024-08-11 19:03:18 UTC","research","CC-BY-NC","",2,"false"
"Amazona vinacea","2024-07-21 17:30:09 -0300","","Misiones, AR",-26.5781916939,-53.911517468,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/230971365","https://static.inaturalist.org/photos/410169695/medium.jpeg","johannaniborski",230971365,"Loro vinoso","Aves",18986,3,0,"2024-07-21 17:30:09","2024-07-21","2024-07-21 20:30:09 UTC","America/Argentina/Cordoba",202,29845,"","obscured","true","gps","gps",7774098,"","2024-07-22 12:32:16 UTC","2024-09-14 19:35:22 UTC","research","CC-BY-NC","",2,"false"
"Amazona vinacea","2024-07-20 17:23:00 -0300","Registro realizado no Parque Estadual de Campos do Jordão.

As fotos estão muito escuras, então tentei realizar um tratamento de claridade e saturação para identificar plumagem diagnóstica (infelizmente ainda precária)","São Paulo, BR",-22.6688129674,-45.4417161685,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/230899476","https://inaturalist-open-data.s3.amazonaws.com/photos/410025559/medium.jpeg","brunoluka",230899476,"Vinaceous-breasted Parrot","Aves",18986,1,0,"2024/07/20 5:23 PM","2024-07-20","2024-07-20 20:23:00 UTC","Brasilia",4,30258,"","obscured","true","","",2927324,"Bruno Luka de Souza Bambirra Silveira","2024-07-22 01:49:15 UTC","2024-08-10 15:35:04 UTC","research","CC-BY","",NA,"false"
"Amazona vinacea","2024-07-20 09:52:07 -0300","","Rio Grande do Sul, BR",-29.2087220088,-50.8725652778,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/230632791","https://inaturalist-open-data.s3.amazonaws.com/photos/409532626/medium.jpeg","danidcortes",230632791,"Papagaio-de-peito-roxo","Aves",18986,2,0,"2024-07-20 09:52:07","2024-07-20","2024-07-20 12:52:07 UTC","Brasilia",194,29508,"","obscured","true","gps","gps",5843962,"Danielly Cortes","2024-07-21 00:48:44 UTC","2024-07-22 02:37:47 UTC","research","CC-BY-NC","",2,"false"
"Amazona vinacea","2024-07-18 12:43:55 -0300","","Minas Gerais, BR",-21.0508532092,-42.8678705808,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/230480205","https://static.inaturalist.org/photos/409248196/medium.jpeg","jhuan_guilherme",230480205,"Papagaio-de-peito-roxo","Aves",18986,0,0,"2024-07-18 12:43:55","2024-07-18","2024-07-18 15:43:55 UTC","Brasilia",6118,30415,"","obscured","true","","",7478909,"Jhuan Guilherme Farias","2024-07-20 12:15:37 UTC","2024-09-05 16:09:39 UTC","needs_id","","",2,"false"
"Amazona vinacea","2024-05-30 16:52:00 -0300","","Santa Catarina, BR",-27.9078725686,-49.8902676936,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/227614722","https://inaturalist-open-data.s3.amazonaws.com/photos/403810574/medium.jpg","isabelcoradigomes",227614722,"Papagaio-de-peito-roxo","Aves",18986,2,0,"2024/05/30 16:52","2024-05-30","2024-05-30 19:52:00 UTC","Brasilia",657,29680,"","obscured","true","","",8290625,"Isabel Coradi Gomes","2024-07-06 20:58:42 UTC","2024-07-20 00:46:46 UTC","research","CC-BY-NC","",NA,"false"
"Amazona vinacea","2024-06-30 07:27:29 -0300","","Minas Gerais, BR",-21.1318545124,-42.8518885758,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/226218236","https://static.inaturalist.org/photos/401168914/medium.jpeg","jhuan_guilherme",226218236,"Papagaio-de-peito-roxo","Aves",18986,0,0,"2024-06-30 07:27:29","2024-06-30","2024-06-30 10:27:29 UTC","Brasilia",6118,30415,"","obscured","true","gps","gps",7478909,"Jhuan Guilherme Farias","2024-06-30 16:25:14 UTC","2024-06-30 16:25:21 UTC","needs_id","","",2,"false"
"Amazona vinacea","2024-06-15 08:09:00 -0300","","Minas Gerais, BR",-19.4799920921,-42.6787655688,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/223411166","https://inaturalist-open-data.s3.amazonaws.com/photos/395851449/medium.jpeg","nilrodrigues",223411166,"Papagaio-de-peito-roxo","Aves",18986,2,0,"2024/06/15 08:09","2024-06-15","2024-06-15 11:09:00 UTC","Brasilia",488,30562,"","obscured","true","","",6229664,"Nil Rodrigues","2024-06-17 20:26:49 UTC","2024-07-20 00:46:34 UTC","research","CC-BY-NC","",NA,"false"
"Amazona vinacea","2024-06-13 09:35:00 -0300","","Minas Gerais, BR",-18.8275343771,-41.7851640465,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/222655781","https://inaturalist-open-data.s3.amazonaws.com/photos/394430729/medium.jpeg","nilrodrigues",222655781,"Papagaio-de-peito-roxo","Aves",18986,1,0,"2024/06/13 09:35","2024-06-13","2024-06-13 12:35:00 UTC","Brasilia",488,30615,"","obscured","true","","",6229664,"Nil Rodrigues","2024-06-14 15:12:20 UTC","2024-06-14 18:48:44 UTC","research","CC-BY-NC","",NA,"false"
"Amazona vinacea","2024-06-13 09:23:00 -0300","","Minas Gerais, BR",-18.8231552992,-41.6275236756,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/222478918","https://static.inaturalist.org/photos/394094650/medium.jpeg","osiasfotografo",222478918,"Papagaio-de-peito-roxo","Aves",18986,1,0,"2024/06/13 09:23","2024-06-13","2024-06-13 12:23:00 UTC","Brasilia",61,30615,"","obscured","true","","",6032257,"","2024-06-13 17:14:37 UTC","2024-06-13 18:45:23 UTC","research","","",NA,"false"
