"id","lat","lon","date","country","species","database","myID"
186919841,-16.2302333223,-41.0345252808,"2021-12-03","Brazil","Amazona vinacea","iNaturalist",95
185643924,-26.7913321535,-51.8703805314,"2023-05-05","Brazil","Amazona vinacea","iNaturalist",96
184426510,-16.3948446612,-40.9572917137,"2023-06-10","Brazil","Amazona vinacea","iNaturalist",97
183141718,-29.2164636022,-50.8389248735,"2023-08-03","Brazil","Amazona vinacea","iNaturalist",98
182508489,-26.6033640971,-52.0694996033,"2017-11-07","Brazil","Amazona vinacea","iNaturalist",99
181455947,-16.347561696,-40.9628557778,"2023-09-02","Brazil","Amazona vinacea","iNaturalist",100
181266266,-26.485033325,-53.8487415933,"2023-08-30","Argentina","Amazona vinacea","iNaturalist",101
180849625,-26.4467827892,-52.5229276282,"2023-08-29","Brazil","Amazona vinacea","iNaturalist",102
179749698,-23.1379649077,-44.8558550153,"2023-08-22","Brazil","Amazona vinacea","iNaturalist",103
179715822,-22.6022847297,-45.5680645732,"2022-12-28","Brazil","Amazona vinacea","iNaturalist",104
179569950,-22.8300441924,-46.1237862435,"2017-04-13","Brazil","Amazona vinacea","iNaturalist",105
178707344,-29.2701081358,-50.9532954938,"2023-08-04","Brazil","Amazona vinacea","iNaturalist",106
178601754,-29.3506658092,-50.9781862,"2023-08-04","Brazil","Amazona vinacea","iNaturalist",107
177970792,49.9822564406,18.245954246,"2023-08-12","Czech Republic","Amazona vinacea","iNaturalist",108
177184982,-16.3890389991,-40.9644802707,"2023-08-05","Brazil","Amazona vinacea","iNaturalist",109
176694992,-29.3164565031,-50.8456153495,"2023-08-04","Brazil","Amazona vinacea","iNaturalist",110
174869092,-26.7265516208,-54.1954769819,"2012-08-24","Argentina","Amazona vinacea","iNaturalist",111
174868992,-26.6250665319,-54.0310970479,"2012-08-24","Argentina","Amazona vinacea","iNaturalist",112
173908510,-16.2218622623,-40.9463577343,"2023-07-20","Brazil","Amazona vinacea","iNaturalist",113
172436602,-26.2297735625,-49.8529805747,"2023-06-29","Brazil","Amazona vinacea","iNaturalist",114
171253313,-25.8002891069,-52.1973942438,"2023-06-02","Brazil","Amazona vinacea","iNaturalist",115
169596292,-28.2545113959,-49.8742408073,"2023-06-21","Brazil","Amazona vinacea","iNaturalist",116
168401440,-22.8412130533,-46.1988759123,"2023-06-19","Brazil","Amazona vinacea","iNaturalist",117
168232193,-19.5415602663,-41.5434951562,"2021-11-14","Brazil","Amazona vinacea","iNaturalist",118
164427057,-26.7086053679,-50.8453127813,"2023-05-25","Brazil","Amazona vinacea","iNaturalist",119
161878631,-19.4701278897,-42.4858536941,"2023-05-12","Brazil","Amazona vinacea","iNaturalist",120
161223067,-19.5561791238,-42.4582477781,"2023-05-12","Brazil","Amazona vinacea","iNaturalist",121
160098845,-26.6989533262,-54.0879536147,"2023-03-01","Argentina","Amazona vinacea","iNaturalist",122
159735453,-27.9704584853,-49.8082780805,"2023-04-29","Brazil","Amazona vinacea","iNaturalist",123
159735202,-27.8560085098,-49.9892068151,"2023-04-29","Brazil","Amazona vinacea","iNaturalist",124
159658928,-22.656456307,-45.439013992,"2023-03-06","Brazil","Amazona vinacea","iNaturalist",125
156626880,-24.2635301692,-50.745088511,"2023-04-24","Brazil","Amazona vinacea","iNaturalist",126
155015840,-26.7530501801,-51.8224483935,"2017-11-09","Brazil","Amazona vinacea","iNaturalist",127
155015830,-26.7919006979,-51.9578374016,"2017-10-27","Brazil","Amazona vinacea","iNaturalist",128
155015809,-26.7208867164,-51.9158085473,"2017-10-27","Brazil","Amazona vinacea","iNaturalist",129
155015767,-26.6384463164,-51.9344970285,"2017-10-20","Brazil","Amazona vinacea","iNaturalist",130
4597317797,-16.209755,-40.841806,"2024-02-29","Brazil","Amazona vinacea","Gbif",131
4851836747,-18.887122,-41.947887,"2024-03-07","Brazil","Amazona vinacea","Gbif",132
4875300045,-27.992325,-49.809588,"2024-05-23","Brazil","Amazona vinacea","Gbif",133
4875244767,-27.860556,-49.91929,"2024-05-23","Brazil","Amazona vinacea","Gbif",134
4875385774,-28.18219,-49.829717,"2024-05-22","Brazil","Amazona vinacea","Gbif",135
4908818043,-27.907873,-49.890268,"2024-05-30","Brazil","Amazona vinacea","Gbif",136
4891751669,-19.685109,-42.681675,"2024-06-04","Brazil","Amazona vinacea","Gbif",137
4902008252,-18.827534,-41.785164,"2024-06-13","Brazil","Amazona vinacea","Gbif",138
4901959587,-19.479992,-42.678766,"2024-06-15","Brazil","Amazona vinacea","Gbif",139
4911050041,-29.208722,-50.872565,"2024-07-20","Brazil","Amazona vinacea","Gbif",140
4910793038,-22.668813,-45.441716,"2024-07-20","Brazil","Amazona vinacea","Gbif",141
4910872203,-26.578192,-53.911517,"2024-07-21","Argentina","Amazona vinacea","Gbif",142
4919133148,-26.459187,-53.978173,"2024-07-21","Argentina","Amazona vinacea","Gbif",143
4946635332,-18.812989,-41.909221,"2024-08-28","Brazil","Amazona vinacea","Gbif",144
4760635378,-26.077461,-52.1963,"2023-01-02","Brazil","Amazona vinacea","Gbif",145
4753327462,-22.689444,-45.481945,"2023-01-02","Brazil","Amazona vinacea","Gbif",146
4669909552,-29.458334,-50.581112,"2023-01-02","Brazil","Amazona vinacea","Gbif",147
4685768214,-28.028858,-49.612507,"2023-01-07","Brazil","Amazona vinacea","Gbif",148
4753235323,-27.978527,-49.486237,"2023-01-08","Brazil","Amazona vinacea","Gbif",149
4774532978,-25.099901,-48.811634,"2023-01-10","Brazil","Amazona vinacea","Gbif",150
4647851358,-26.462187,-52.568893,"2023-01-11","Brazil","Amazona vinacea","Gbif",151
4769485007,-20.685087,-43.30088,"2023-01-11","Brazil","Amazona vinacea","Gbif",152
4608877529,-26.479334,-51.442535,"2023-01-12","Brazil","Amazona vinacea","Gbif",153
4696437473,-27.979912,-49.505585,"2023-01-15","Brazil","Amazona vinacea","Gbif",154
4766364498,-27.96954,-49.497803,"2023-01-18","Brazil","Amazona vinacea","Gbif",155
4613783302,-22.700949,-45.482746,"2023-01-19","Brazil","Amazona vinacea","Gbif",156
4769458333,-22.724417,-45.458366,"2023-01-19","Brazil","Amazona vinacea","Gbif",157
4637250024,-22.692125,-45.49117,"2023-01-19","Brazil","Amazona vinacea","Gbif",158
4701888676,-22.70236,-45.47256,"2023-01-19","Brazil","Amazona vinacea","Gbif",159
4622792783,-22.709887,-45.46934,"2023-01-19","Brazil","Amazona vinacea","Gbif",160
4696898710,-24.783333,-54.433334,"2023-01-08","Paraguay","Amazona vinacea","Gbif",161
