"species","lon","lat","database"
"Amazona vinacea",-50.872565,-29.208722,"gbif"
"Amazona vinacea",-45.441716,-22.668813,"gbif"
"Amazona vinacea",-52.1963,-26.077461,"gbif"
"Amazona vinacea",-45.481945,-22.689444,"gbif"
"Amazona vinacea",-50.581112,-29.458334,"gbif"
"Amazona vinacea",-49.612507,-28.028858,"gbif"
"Amazona vinacea",-49.486237,-27.978527,"gbif"
"Amazona vinacea",-48.811634,-25.099901,"gbif"
"Amazona vinacea",-52.568893,-26.462187,"gbif"
"Amazona vinacea",-43.30088,-20.685087,"gbif"
"Amazona vinacea",-51.442535,-26.479334,"gbif"
"Amazona vinacea",-49.505585,-27.979912,"gbif"
"Amazona vinacea",-49.497803,-27.96954,"gbif"
"Amazona vinacea",-45.482746,-22.700949,"gbif"
"Amazona vinacea",-45.458366,-22.724417,"gbif"
"Amazona vinacea",-45.49117,-22.692125,"gbif"
"Amazona vinacea",-45.47256,-22.70236,"gbif"
"Amazona vinacea",-45.46934,-22.709887,"gbif"
"Amazona vinacea",-52.427193,-26.207186,"gbif"
"Amazona vinacea",-49.442684,-26.611935,"gbif"
"Amazona vinacea",-49.54776,-28.001665,"gbif"
"Amazona vinacea",-50.824043,-29.365183,"gbif"
"Amazona vinacea",-48.606834,-25.051165,"gbif"
"Amazona vinacea",-50.13186,-27.926237,"gbif"
"Amazona vinacea",-44.986286,-23.195251,"gbif"
"Amazona vinacea",-46.029797,-22.876017,"gbif"
"Amazona vinacea",-46.0386,-22.8631,"gbif"
"Amazona vinacea",-51.173393,-27.739838,"gbif"
"Amazona vinacea",-51.168858,-27.734621,"gbif"
"Amazona vinacea",-43.31181,-20.699787,"gbif"
"Amazona vinacea",-51.62398,-26.08769,"gbif"
"Amazona vinacea",-51.659454,-26.1085,"gbif"
"Amazona vinacea",-51.743744,-26.1535,"gbif"
"Amazona vinacea",-43.307953,-20.688868,"gbif"
"Amazona vinacea",-41.465916,-19.604616,"gbif"
"Amazona vinacea",-52.606407,-26.48841,"gbif"
"Amazona vinacea",-45.48946,-22.694096,"gbif"
"Amazona vinacea",-49.84235,-25.544281,"gbif"
"Amazona vinacea",-45.514187,-22.695559,"gbif"
"Amazona vinacea",-52.777084,-27.116745,"gbif"
"Amazona vinacea",-45.58983,-22.73724,"gbif"
"Amazona vinacea",-45.993336,-22.802073,"gbif"
"Amazona vinacea",-45.501266,-22.693796,"gbif"
"Amazona vinacea",-49.53156,-28.013195,"gbif"
"Amazona vinacea",-45.42649,-22.649939,"gbif"
"Amazona vinacea",-50.131184,-29.170856,"gbif"
"Amazona vinacea",-43.309395,-20.692652,"gbif"
"Amazona vinacea",-52.67862,-26.037426,"gbif"
"Amazona vinacea",-50.38677,-29.423851,"gbif"
"Amazona vinacea",-50.746914,-27.395897,"gbif"
"Amazona vinacea",-51.46591,-25.393078,"gbif"
"Amazona vinacea",-50.980618,-27.490208,"gbif"
"Amazona vinacea",-51.05713,-27.566862,"gbif"
"Amazona vinacea",-45.590874,-22.71667,"gbif"
"Amazona vinacea",-50.767883,-27.424166,"gbif"
"Amazona vinacea",-50.780193,-27.429283,"gbif"
"Amazona vinacea",-50.912327,-29.30912,"gbif"
"Amazona vinacea",-45.496353,-22.690252,"gbif"
"Amazona vinacea",-45.47843,-22.703138,"gbif"
"Amazona vinacea",-45.50286,-22.691557,"gbif"
"Amazona vinacea",-50.57849,-29.423658,"gbif"
"Amazona vinacea",-50.790745,-27.497639,"gbif"
"Amazona vinacea",-50.645317,-25.200138,"gbif"
"Amazona vinacea",-46.023224,-22.885754,"gbif"
"Amazona vinacea",-43.298897,-20.684921,"gbif"
"Amazona vinacea",-49.132946,-27.665611,"gbif"
"Amazona vinacea",-49.203503,-26.378235,"gbif"
"Amazona vinacea",-44.619595,-22.717306,"gbif"
"Amazona vinacea",-50.359596,-28.88149,"gbif"
"Amazona vinacea",-50.745089,-24.26353,"gbif"
"Amazona vinacea",-49.989207,-27.856009,"gbif"
"Amazona vinacea",-49.808278,-27.970458,"gbif"
